2大型汽车3-11-1至2大型汽车4-4-30注销车辆信息,,,
号牌种类,号牌号码,燃料种类,出厂日期
大型汽车,A18769,汽油,1972/1/1
大型汽车,A08580,汽油,1974/6/15
大型汽车,A15859,汽油,1975/4/30
大型汽车,A10553,汽油,1978/1/1
大型汽车,A10505,汽油,1978/11/22
大型汽车,A22788,汽油,1978/11/23
大型汽车,A22811,汽油,1978/12/11
大型汽车,A22807,汽油,1979/2/14
大型汽车,A22802,汽油,1979/2/14
大型汽车,A22801,汽油,1979/9/10
大型汽车,A08089,汽油,1980/1/1
大型汽车,A09409,汽油,1980/1/1
大型汽车,A10348,汽油,1980/1/1
小型汽车,A15904,汽油,1980/1/1
大型汽车,A07700,汽油,1980/1/5
大型汽车,A23382,汽油,1980/3/2
大型汽车,A22821,汽油,1980/4/17
大型汽车,A17592,汽油,1980/5/3
大型汽车,A22825,汽油,1980/6/12
大型汽车,A28295,汽油,1980/8/15
大型汽车,A08111,汽油,1980/10/1
大型汽车,A22786,汽油,1980/10/11
大型汽车,A07333,汽油,1980/11/10
大型汽车,A14830,汽油,1981/1/1
大型汽车,A08464,汽油,1981/1/1
小型汽车,A26260,汽油,1981/1/1
大型汽车,A10775,汽油,1981/2/1
教练汽车,A0716,汽油,1981/3/1
大型汽车,A07399,汽油,1981/4/27
大型汽车,A09309,汽油,1981/4/30
大型汽车,A28138,汽油,1981/5/1
大型汽车,A14843,汽油,1981/9/21
小型汽车,A19168,汽油,1981/10/22
大型汽车,A09682,汽油,1981/12/7
小型汽车,A07385,汽油,1981/12/31
大型汽车,A06698,汽油,1982/1/1
大型汽车,A12421,汽油,1982/1/1
小型汽车,A23863,汽油,1982/1/1
大型汽车,A11985,汽油,1982/1/8
教练汽车,A0713,汽油,1982/1/16
教练汽车,A0710,汽油,1982/1/18
教练汽车,A0719,汽油,1982/1/18
大型汽车,A05740,汽油,1982/1/24
教练汽车,A0720,汽油,1982/2/8
教练汽车,A0717,汽油,1982/2/8
教练汽车,A0712,汽油,1982/2/10
小型汽车,A14762,汽油,1982/4/1
大型汽车,A12306,汽油,1982/6/1
大型汽车,A28225,汽油,1982/6/1
大型汽车,A00868,汽油,1982/7/1
大型汽车,A05127,汽油,1982/9/26
大型汽车,A17297,汽油,1982/11/1
大型汽车,A10788,汽油,1982/12/1
大型汽车,A05296,汽油,1983/1/1
大型汽车,A08728,汽油,1983/1/1
大型汽车,A09342,汽油,1983/1/1
大型汽车,A07441,汽油,1983/1/1
大型汽车,A06922,汽油,1983/1/1
教练汽车,A0792,汽油,1983/1/1
大型汽车,A28207,汽油,1983/1/3
大型汽车,A07384,汽油,1983/1/22
大型汽车,A12657,汽油,1983/4/1
教练汽车,A0498,汽油,1983/4/1
大型汽车,A09455,汽油,1983/4/7
大型汽车,A09456,汽油,1983/4/7
小型汽车,A09507,汽油,1983/5/15
大型汽车,A14270,汽油,1983/6/6
大型汽车,A09450,汽油,1983/6/29
大型汽车,A09448,汽油,1983/6/29
教练汽车,A0240,汽油,1983/7/1
教练汽车,A0239,汽油,1983/7/1
大型汽车,A06048,汽油,1983/7/30
大型汽车,A07518,汽油,1983/8/26
大型汽车,A09453,汽油,1983/9/29
大型汽车,A14285,汽油,1983/10/1
大型汽车,A07760,汽油,1983/10/4
挂车,A2791,汽油,1983/11/25
大型汽车,A12447,汽油,1983/11/28
大型汽车,A08871,汽油,1983/12/1
大型汽车,A28139,汽油,1983/12/1
大型汽车,A07534,汽油,1983/12/3
大型汽车,A08752,汽油,1983/12/11
小型汽车,A23356,汽油,1983/12/12
大型汽车,A13112,汽油,1984/1/1
大型汽车,A05623,汽油,1984/1/1
大型汽车,A05621,汽油,1984/1/1
大型汽车,A04423,汽油,1984/1/1
大型汽车,A10001,汽油,1984/1/1
大型汽车,A14791,汽油,1984/1/1
大型汽车,A20206,汽油,1984/1/1
大型汽车,A20203,汽油,1984/1/1
大型汽车,A20207,汽油,1984/1/1
大型汽车,A20205,汽油,1984/1/1
大型汽车,A20204,汽油,1984/1/1
大型汽车,A20202,汽油,1984/1/1
大型汽车,A20200,汽油,1984/1/1
大型汽车,A20201,汽油,1984/1/1
大型汽车,A20210,汽油,1984/1/1
大型汽车,A20209,汽油,1984/1/1
大型汽车,A12718,汽油,1984/1/1
大型汽车,A05595,汽油,1984/1/1
大型汽车,A20208,汽油,1984/1/1
小型汽车,A06774,汽油,1984/1/1
小型汽车,A05837,汽油,1984/1/1
小型汽车,A15576,汽油,1984/1/1
小型汽车,A15041,汽油,1984/1/1
大型汽车,A08514,汽油,1984/1/6
大型汽车,A04139,汽油,1984/1/20
大型汽车,A08600,汽油,1984/1/28
大型汽车,A08583,汽油,1984/1/28
大型汽车,A13576,汽油,1984/2/1
大型汽车,A28224,汽油,1984/2/1
大型汽车,A14143,汽油,1984/3/3
大型汽车,A09316,汽油,1984/3/13
大型汽车,A10638,汽油,1984/4/9
小型汽车,A14892,汽油,1984/4/22
大型汽车,A07397,汽油,1984/4/27
大型汽车,A09606,汽油,1984/5/1
