号牌种类,号牌号码,燃料种类,出厂日期
小型汽车,ALH029,汽油,2006/1/1
小型汽车,ATT999,汽油,2006/8/28
小型汽车,AVC618,油电混合,2008/11/1
小型汽车,A758S9,汽油,2009/2/1
小型汽车,A79713,汽油,2009/3/31
小型汽车,A386V6,汽油,2009/7/1
小型汽车,A527U1,汽油,2009/11/1
小型汽车,AYW699,汽油,2009/12/4
小型汽车,AJT111,汽油,2010/2/1
普通摩托车,AA9499,汽油,2010/3/19
小型汽车,AZG501,汽油,2010/3/29
小型汽车,A190V2,汽油,2010/4/30
小型汽车,AV0166,汽油,2010/5/1
小型汽车,AVC619,汽油,2010/6/1
小型汽车,A31587,汽油,2010/7/1
小型汽车,A120V1,柴油,2010/8/25
小型汽车,A121V6,柴油,2010/8/25
小型汽车,A621S7,汽油,2010/8/27
小型汽车,A06180,汽油,2010/9/8
小型汽车,ARY011,汽油,2010/9/30
小型汽车,AFJ655,汽油,2010/10/1
小型汽车,ADG701,汽油,2010/11/1
小型汽车,A01847,汽油,2010/12/1
小型汽车,A11658,汽油,2010/12/14
小型汽车,A831V9,汽油,2010/12/20
小型汽车,A11662,汽油,2011/1/1
小型汽车,A655T9,汽油,2011/1/1
小型汽车,A02233,柴油,2011/2/1
小型汽车,A968Q7,汽油,2011/3/16
大型汽车,AA5895,柴油,2011/3/19
普通摩托车,AA9374,汽油,2011/3/23
小型汽车,A12844,汽油,2011/4/1
小型汽车,A24417,汽油,2011/4/26
小型汽车,A686S2,汽油,2011/5/1
小型汽车,A31K58,汽油,2011/5/18
小型汽车,A693V7,汽油,2011/6/8
小型汽车,A072V3,汽油,2011/6/9
小型汽车,A287N2,汽油,2011/6/18
小型汽车,ARE999,汽油,2011/7/1
小型汽车,AAU699,汽油,2011/7/1
小型汽车,A57W23,汽油,2011/7/4
小型汽车,A608T9,汽油,2011/7/11
小型汽车,A95808,汽油,2011/7/12
小型汽车,A530U5,汽油,2011/7/12
小型汽车,A580U6,汽油,2011/7/12
小型汽车,A02517,汽油,2011/7/12
小型汽车,A27229,汽油,2011/7/13
小型汽车,A092V5,汽油,2011/7/14
小型汽车,A75592,汽油,2011/7/22
小型汽车,A523S7,柴油,2011/8/1
小型汽车,A12368,柴油,2011/8/1
小型汽车,A528S5,汽油,2011/8/3
小型汽车,A256U8,汽油,2011/8/4
小型汽车,A392R1,汽油,2011/8/12
大型汽车,AA6671,柴油,2011/8/18
小型汽车,AZD998,汽油,2011/9/1
小型汽车,AKK087,汽油,2011/9/1
小型汽车,AZJ116,柴油,2011/9/1
小型汽车,AZZ101,柴油,2011/9/1
小型汽车,ADG889,汽油,2011/9/1
小型汽车,ASX102,柴油,2011/9/1
小型汽车,A519U3,汽油,2011/9/1
小型汽车,A37933,汽油,2011/9/1
小型汽车,AMT210,汽油,2011/9/10
小型汽车,A53733,汽油,2011/9/23
普通摩托车,AA9135,汽油,2011/9/24
普通摩托车,AA9172,汽油,2011/9/28
普通摩托车,AA9178,汽油,2011/9/28
小型汽车,A01163,汽油,2011/9/29
小型汽车,ATT696,柴油,2011/10/1
小型汽车,AHT919,柴油,2011/10/1
小型汽车,A08222,汽油,2011/10/1
小型汽车,AYJ069,汽油,2011/10/1
小型汽车,AMF058,柴油,2011/10/1
小型汽车,AYF713,柴油,2011/10/1
小型汽车,A98048,柴油,2011/10/1
小型汽车,A12970,柴油,2011/10/1
小型汽车,ADE677,汽油,2011/10/1
小型汽车,AJC803,柴油,2011/10/1
小型汽车,A733S9,汽油,2011/10/1
小型汽车,ANG002,汽油,2011/10/1
小型汽车,A680T9,柴油,2011/10/1
小型汽车,A550S5,柴油,2011/10/1
小型汽车,A32288,柴油,2011/10/1
小型汽车,A14751,柴油,2011/10/1
小型汽车,A397U2,汽油,2011/10/1
小型汽车,A57776,柴油,2011/10/1
小型汽车,A77935,汽油,2011/10/8
小型汽车,A97G65,汽油,2011/10/21
小型汽车,A183V9,汽油,2011/10/25
小型汽车,A26M23,汽油,2011/10/25
小型汽车,A378C9,汽油,2011/10/25
小型汽车,A76506,汽油,2011/10/27
小型汽车,A74952,汽油,2011/10/29
小型汽车,A99984,汽油,2011/10/31
小型汽车,AGB456,柴油,2011/11/1
小型汽车,A11841,柴油,2011/11/1
小型汽车,A02065,柴油,2011/11/1
小型汽车,A938V9,汽油,2011/11/1
小型汽车,A01041,汽油,2011/11/1
小型汽车,AHQ567,油电混合,2011/11/1
小型汽车,A13445,汽油,2011/11/1
小型汽车,A12008,汽油,2011/11/1
小型汽车,AXZ999,汽油,2011/11/1
小型汽车,A94539,汽油,2011/11/1
小型汽车,AMZ007,汽油,2011/11/1
小型汽车,ATK007,汽油,2011/11/1
小型汽车,A783S1,汽油,2011/11/1
小型汽车,ADK092,汽油,2011/11/1
小型汽车,A682T9,汽油,2011/11/1
小型汽车,A633S6,汽油,2011/11/1
小型汽车,AJC010,汽油,2011/11/1
小型汽车,ADN520,汽油,2011/11/1
小型汽车,AZJ429,汽油,2011/11/1
小型汽车,A02024,柴油,2011/11/1
小型汽车,ADK516,汽油,2011/11/1
小型汽车,A32039,汽油,2011/11/1
小型汽车,A666S3,汽油,2011/11/2
小型汽车,APP915,汽油,2011/11/9
小型汽车,A608T6,汽油,2011/11/14
低速车,A22088,柴油,2011/11/17
小型汽车,AHS559,汽油,2011/11/28
小型汽车,A63358,汽油,2011/12/1
小型汽车,A75136,汽油,2011/12/1
小型汽车,A24092,汽油,2011/12/1
小型汽车,ACQ898,汽油,2011/12/1
小型汽车,A98114,柴油,2011/12/1
小型汽车,A93453,柴油,2011/12/1
小型汽车,A555U3,柴油,2011/12/1
小型汽车,A719S2,汽油,2011/12/1
小型汽车,AAL978,柴油,2011/12/1
小型汽车,A703S6,柴油,2011/12/1
小型汽车,ADJ779,柴油,2011/12/1
小型汽车,A250V2,汽油,2011/12/1
小型汽车,A125V9,汽油,2011/12/1
小型汽车,ANS023,柴油,2011/12/1
小型汽车,ARC444,柴油,2011/12/1
小型汽车,AEY001,汽油,2011/12/1
小型汽车,AZA629,汽油,2011/12/1
小型汽车,ABH117,汽油,2011/12/1
小型汽车,AQY222,汽油,2011/12/1
小型汽车,A61598,汽油,2011/12/1
小型汽车,AJF119,汽油,2011/12/1
小型汽车,A57K13,汽油,2011/12/7
小型汽车,A991R6,汽油,2011/12/7
小型汽车,A025U7,汽油,2011/12/8
小型汽车,A251U8,汽油,2011/12/11
小型汽车,A283V7,汽油,2011/12/16
普通摩托车,A57602,汽油,2011/12/18
普通摩托车,AA9084,汽油,2011/12/18
小型汽车,A94377,汽油,2011/12/24
小型汽车,A735U0,汽油,2011/12/28
小型汽车,A226U3,汽油,2011/12/28
小型汽车,A24523,汽油,2011/12/29
小型汽车,A118V0,汽油,2011/12/29
小型汽车,A36K22,汽油,2011/12/30
小型汽车,APT444,汽油,2012/1/1
小型汽车,ATH567,汽油,2012/1/1
小型汽车,A13919,汽油,2012/1/1
小型汽车,A836V9,汽油,2012/1/1
小型汽车,A22779,汽油,2012/1/1
小型汽车,A02167,汽油,2012/1/1
小型汽车,A965U7,汽油,2012/1/1
小型汽车,A22758,汽油,2012/1/1
小型汽车,AF9500,汽油,2012/1/1
小型汽车,A11861,汽油,2012/1/1
小型汽车,A02546,汽油,2012/1/1
小型汽车,ACX155,汽油,2012/1/1
小型汽车,AYQ777,柴油,2012/1/1
小型汽车,ASV999,柴油,2012/1/1
小型汽车,ADD887,汽油,2012/1/1
小型汽车,ALG013,汽油,2012/1/1
小型汽车,A14488,汽油,2012/1/1
小型汽车,A62666,柴油,2012/1/1
小型汽车,AFG958,汽油,2012/1/1
小型汽车,ALV315,汽油,2012/1/1
小型汽车,AQQ928,汽油,2012/1/1
小型汽车,ALK708,汽油,2012/1/1
小型汽车,AZT777,汽油,2012/1/1
小型汽车,AMN114,汽油,2012/1/1
小型汽车,A581U9,汽油,2012/1/6
小型汽车,A529R7,汽油,2012/1/6
小型汽车,A35900,汽油,2012/1/9
小型汽车,A801T6,汽油,2012/1/11
小型汽车,A45299,汽油,2012/1/12
小型汽车,AQQ006,汽油,2012/1/12
小型汽车,A196V2,汽油,2012/1/12
小型汽车,AQM088,汽油,2012/1/13
小型汽车,AEQ666,汽油,2012/1/14
小型汽车,A658U8,汽油,2012/1/17
小型汽车,A670S0,汽油,2012/1/18
小型汽车,A14070,油电混合,2012/2/1
小型汽车,A11590,汽油,2012/2/1
小型汽车,AAV777,汽油,2012/2/1
小型汽车,A257V2,汽油,2012/2/1
小型汽车,A13298,汽油,2012/2/1
小型汽车,A15052,汽油,2012/2/1
小型汽车,AZX568,汽油,2012/2/1
小型汽车,A75683,汽油,2012/2/1
小型汽车,ARL882,汽油,2012/2/1
小型汽车,A11775,汽油,2012/2/1
小型汽车,ALY055,汽油,2012/2/1
小型汽车,ATG333,油电混合,2012/2/1
小型汽车,A61846,汽油,2012/2/1
小型汽车,AVZ988,汽油,2012/2/1
小型汽车,A017U1,柴油,2012/2/1
小型汽车,A556U9,汽油,2012/2/1
小型汽车,A612T0,汽油,2012/2/1
小型汽车,A721S0,汽油,2012/2/1
小型汽车,A067U2,汽油,2012/2/1
小型汽车,AHW885,汽油,2012/2/1
小型汽车,A535S9,汽油,2012/2/1
小型汽车,AKW001,汽油,2012/2/1
小型汽车,AFT518,汽油,2012/2/1
小型汽车,AZY056,汽油,2012/2/1
小型汽车,AJT969,汽油,2012/2/1
小型汽车,A34051,柴油,2012/2/1
小型汽车,A22334,汽油,2012/2/10
小型汽车,A382R5,汽油,2012/2/11
小型汽车,A275U8,汽油,2012/2/14
小型汽车,A892S1,汽油,2012/2/16
普通摩托车,AA9333,汽油,2012/2/17
小型汽车,A32989,汽油,2012/2/22
小型汽车,A921P8,汽油,2012/2/25
小型汽车,A988P5,汽油,2012/2/27
小型汽车,AZW118,汽油,2012/2/27
小型汽车,A656U8,汽油,2012/2/28
小型汽车,A22576,汽油,2012/2/28
小型汽车,A82694,汽油,2012/2/28
小型汽车,A14357,汽油,2012/3/1
小型汽车,A33015,汽油,2012/3/1
小型汽车,A12744,汽油,2012/3/1
小型汽车,ARX719,汽油,2012/3/1
小型汽车,A11556,汽油,2012/3/1
小型汽车,A775U8,汽油,2012/3/1
小型汽车,A79808,汽油,2012/3/1
小型汽车,A14636,柴油,2012/3/1
小型汽车,APH209,油电混合,2012/3/1
小型汽车,ACN779,汽油,2012/3/1
小型汽车,A176P1,汽油,2012/3/1
小型汽车,AGN077,汽油,2012/3/1
小型汽车,A713U2,汽油,2012/3/1
小型汽车,A735R8,汽油,2012/3/1
小型汽车,A681S8,柴油,2012/3/1
小型汽车,A33597,汽油,2012/3/1
小型汽车,AJA611,汽油,2012/3/1
小型汽车,AG5151,柴油,2012/3/1
小型汽车,AXQ222,汽油,2012/3/1
小型汽车,ADX399,汽油,2012/3/1
小型汽车,APE366,汽油,2012/3/1
小型汽车,A48656,汽油,2012/3/1
小型汽车,A12131,汽油,2012/3/1
小型汽车,ABY620,汽油,2012/3/5
小型汽车,A12843,汽油,2012/3/6
小型汽车,A396S3,汽油,2012/3/6
小型汽车,A61593,汽油,2012/3/6
小型汽车,A56K75,汽油,2012/3/6
小型汽车,AYZ528,汽油,2012/3/7
教练汽车,A2775,双燃料,2012/3/8
教练汽车,A2777,双燃料,2012/3/8
小型汽车,A20477,汽油,2012/3/9
小型汽车,A90180,汽油,2012/3/9
小型汽车,A718R3,汽油,2012/3/9
小型汽车,A379V6,汽油,2012/3/11
小型汽车,ANR809,汽油,2012/3/11
低速车,A03395,柴油,2012/3/12
低速车,A03396,柴油,2012/3/12
小型汽车,AFY605,汽油,2012/3/14
大型汽车,AA7332,汽油,2012/3/15
小型汽车,A24905,汽油,2012/3/15
小型汽车,A860S2,汽油,2012/3/26
低速车,A22081,柴油,2012/3/27
低速车,A03391,柴油,2012/3/27
低速车,A03390,柴油,2012/3/28
小型汽车,AW1888,汽油,2012/3/29
普通摩托车,AA9260,汽油,2012/3/29
小型汽车,A09976,汽油,2012/3/30
小型汽车,A72759,汽油,2012/3/30
小型汽车,A76565,汽油,2012/3/30
小型汽车,A835S6,汽油,2012/3/30
小型汽车,A786J1,汽油,2012/3/31
小型汽车,A43929,汽油,2012/3/31
小型汽车,A23912,汽油,2012/4/1
小型汽车,AMA869,汽油,2012/4/1
小型汽车,A22668,柴油,2012/4/1
小型汽车,A12042,柴油,2012/4/1
小型汽车,A78002,柴油,2012/4/1
小型汽车,ABZ788,汽油,2012/4/1
小型汽车,ANB018,柴油,2012/4/1
小型汽车,A13916,柴油,2012/4/1
小型汽车,A976U3,汽油,2012/4/1
小型汽车,A13903,汽油,2012/4/1
小型汽车,A01837,汽油,2012/4/1
小型汽车,A77299,柴油,2012/4/1
小型汽车,A94209,汽油,2012/4/1
小型汽车,AHF585,汽油,2012/4/1
小型汽车,AFS666,汽油,2012/4/1
