号牌种类,号牌号码,燃料种类,出厂日期
小型汽车,ALH029,汽油,2006/1/1
小型汽车,ATT999,汽油,2006/8/28
小型汽车,AVC618,油电混合,2008/11/1
小型汽车,A758S9,汽油,2009/2/1
小型汽车,A79713,汽油,2009/3/31
小型汽车,A386V6,汽油,2009/7/1
小型汽车,A527U1,汽油,2009/11/1
小型汽车,AYW699,汽油,2009/12/4
小型汽车,AJT111,汽油,2010/2/1
普通摩托车,AA9499,汽油,2010/3/19
小型汽车,AZG501,汽油,2010/3/29
小型汽车,A190V2,汽油,2010/4/30
小型汽车,AV0166,汽油,2010/5/1
小型汽车,AVC619,汽油,2010/6/1
小型汽车,A31587,汽油,2010/7/1
小型汽车,A120V1,柴油,2010/8/25
小型汽车,A121V6,柴油,2010/8/25
小型汽车,A621S7,汽油,2010/8/27
小型汽车,A06180,汽油,2010/9/8
小型汽车,ARY011,汽油,2010/9/30
小型汽车,AFJ655,汽油,2010/10/1
小型汽车,ADG701,汽油,2010/11/1
小型汽车,A01847,汽油,2010/12/1
小型汽车,A11658,汽油,2010/12/14
小型汽车,A831V9,汽油,2010/12/20
小型汽车,A11662,汽油,2011/1/1
小型汽车,A655T9,汽油,2011/1/1
小型汽车,A02233,柴油,2011/2/1
小型汽车,A968Q7,汽油,2011/3/16
大型汽车,AA5895,柴油,2011/3/19
